French Name,English Translation,Dutch Translation,Description,Dutch Description,Price Range,Pork,Other Meat,Fish/Seafood,Dairy,Vegetarian,Google Search
Boeuf Bourguignon,Beef Burgundy,Rundvlees Bourgogne,Beef braised in red wine with vegetables,"Rundvlees gestooft in rode wijn met groenten",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=boeuf%20bourguignon&tbm=isch
Confit de Canard,Duck Confit,Eendenconfit,Duck leg slowly cooked in its own fat,"Eendenbout langzaam gekookt in eigen vet",€15-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=confit%20de%20canard&tbm=isch
Cassoulet,Bean Stew,Bonenstoof,Slow-cooked bean stew with duck and sausage,"Langzaam gekookte bonenstoof met eend en worst",€12-16,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cassoulet&tbm=isch
Ratatouille,Vegetable Stew,Groentestoof,Stewed vegetables from Provence,"Gestoofde groenten uit de Provence",€8-12,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=ratatouille&tbm=isch
Steak Frites,Steak and Fries,Biefstuk en Friet,Grilled steak served with French fries,"Gegrilde biefstuk geserveerd met friet",€15-25,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=steak%20frites&tbm=isch
Sole Meunière,Sole with Butter,Tong met Boter,Pan-fried sole with butter and lemon,"Gebakken tong met boter en citroen",€18-24,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=sole%20meuniere&tbm=isch
Moules Marinières,Mussels in White Wine,Mosselen in Witte Wijn,Mussels cooked in white wine and herbs,"Mosselen gekookt in witte wijn en kruiden",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=moules%20marinieres&tbm=isch
Pot-au-Feu,Beef and Vegetable Stew,Rundvlees en Groentestoof,Traditional beef and vegetable stew,"Traditionele rundvlees en groentestoof",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=pot%20au%20feu&tbm=isch
Blanquette de Veau,Veal in White Sauce,Kalfsvlees in Witte Saus,Veal stew in white sauce,"Kalfsvlees stoof in witte saus",€16-20,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=blanquette%20de%20veau&tbm=isch
Andouillette,Tripe Sausage,Pensworst,Traditional tripe sausage,"Traditionele pensworst",€10-14,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=andouillette&tbm=isch
Magret de Canard,Duck Breast,Eendenborst,Grilled duck breast usually served pink,"Gegrilde eendenborst meestal rosé geserveerd",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=magret%20de%20canard&tbm=isch
Gigot d'Agneau,Leg of Lamb,Lamsbout,Roasted leg of lamb,"Gebraden lamsbout",€18-25,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=gigot%20agneau&tbm=isch
Bavette à l'Échalote,Flank Steak with Shallots,Bavette met Sjalotjes,Flank steak with shallot sauce,"Bavette met sjalottensaus",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=bavette%20echalote&tbm=isch
Tartare de Bœuf,Beef Tartare,Rundertartaar,Raw minced beef served with seasonings,"Rauw gehakt rundvlees met kruiden",€12-16,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=tartare%20de%20boeuf&tbm=isch
Choucroute Garnie,Sauerkraut with Sausages,Zuurkool met Worst,Sauerkraut with various sausages and pork,"Zuurkool met verschillende worsten en varkensvlees",€14-18,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=choucroute%20garnie&tbm=isch
Rôti de Porc,Pork Roast,Varkensgebraad,Roasted pork with herbs,"Gebraden varkensvlees met kruiden",€12-16,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=roti%20de%20porc&tbm=isch
Lapin aux Pruneaux,Rabbit with Prunes,Konijn met Pruimen,Braised rabbit with prunes,"Gestoofde konijn met pruimen",€15-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=lapin%20aux%20pruneaux&tbm=isch
Saumon Grillé,Grilled Salmon,Gegrilde Zalm,Grilled salmon with herbs,"Gegrilde zalm met kruiden",€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=saumon%20grille&tbm=isch
Truite aux Amandes,Trout with Almonds,Forel met Amandelen,Pan-fried trout with almonds,"Gebakken forel met amandelen",€14-18,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=truite%20aux%20amandes&tbm=isch
Lotte à l'Armoricaine,Monkfish in Tomato Sauce,Zeeduivel in Tomatensaus,Monkfish in spicy tomato sauce,"Zeeduivel in pittige tomatensaus",€18-24,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=lotte%20armoricaine&tbm=isch
Coquilles Saint-Jacques,Scallops,Coquilles,Pan-seared scallops,"Gebakken sint-jakobsschelpen",€16-22,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=coquilles%20saint%20jacques&tbm=isch
Plateau de Fruits de Mer,Seafood Platter,Zeevruchtenplateau,Assorted fresh seafood,"Gemengde verse zeevruchten",€25-40,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=plateau%20fruits%20de%20mer&tbm=isch
Homard Thermidor,Lobster Thermidor,Kreeft Thermidor,Lobster in creamy sauce gratinéed,"Kreeft in romige saus gegratineerd",€35-50,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=homard%20thermidor&tbm=isch
Gratin Dauphinois,Potato Gratin,Aardappelgratin,Creamy potato gratin,"Romige aardappelgratin",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=gratin%20dauphinois&tbm=isch
Pommes Sarladaises,Potatoes with Duck Fat,Aardappelen met Eendenvet,Potatoes cooked in duck fat,"Aardappelen gekookt in eendenvet",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pommes%20sarladaises&tbm=isch
Haricots Verts,Green Beans,Sperziebonen,French green beans,"Franse sperziebonen",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=haricots%20verts&tbm=isch
Épinards à la Crème,Creamed Spinach,Spinazie met Room,Spinach in cream sauce,"Spinazie in roomsaus",€5-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=epinards%20creme&tbm=isch
Champignons à l'Ail,Garlic Mushrooms,Champignons met Knoflook,Mushrooms sautéed with garlic,"Champignons gebakken met knoflook",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=champignons%20ail&tbm=isch
Fromage,Cheese,Kaas,Selection of French cheeses,"Selectie van Franse kazen",€8-15,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=fromage%20francais&tbm=isch
Camembert,Camembert Cheese,Camembert Kaas,Soft cow's milk cheese from Normandy,"Zachte koemelk kaas uit Normandië",€6-10,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=camembert%20cheese&tbm=isch
Roquefort,Roquefort Cheese,Roquefort Kaas,Blue cheese made from sheep's milk,"Blauwe kaas van schapenmelk",€8-12,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=roquefort%20cheese&tbm=isch
Brie,Brie Cheese,Brie Kaas,Soft-ripened cheese with white rind,"Zachte kaas met witte korst",€6-10,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=brie%20cheese&tbm=isch
Chèvre,Goat Cheese,Geitenkaas,Fresh goat cheese,"Verse geitenkaas",€5-8,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=chevre%20cheese&tbm=isch
Crème Brûlée,Burnt Cream,Crème Brûlée,Vanilla custard with caramelized sugar,"Vanille custard met gekarameliseerde suiker",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=creme%20brulee&tbm=isch
Tarte Tatin,Upside-Down Apple Tart,Omgekeerde Appeltaart,Caramelized apple tart,"Gekarameliseerde appeltaart",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=tarte%20tatin&tbm=isch
Mousse au Chocolat,Chocolate Mousse,Chocolademousse,Light chocolate mousse,"Lichte chocolademousse",€5-8,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=mousse%20au%20chocolat&tbm=isch
Profiteroles,Cream Puffs,Soesjes,Choux pastry filled with cream,"Soesjes gevuld met room",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=profiteroles&tbm=isch
Île Flottante,Floating Island,Drijvend Eiland,Meringue floating in vanilla custard,"Schuim drijvend in vanille custard",€5-8,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=ile%20flottante&tbm=isch
Tarte au Citron,Lemon Tart,Citroentaart,Lemon curd tart,"Citroencurd taart",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=tarte%20au%20citron&tbm=isch
Clafoutis,Cherry Clafoutis,Kersen Clafoutis,Baked cherry custard,"Gebakken kersen custard",€5-8,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=clafoutis&tbm=isch
Mille-Feuille,Napoleon Cake,Napoleontaart,Layered pastry with cream,"Gelaagde taart met room",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=mille%20feuille&tbm=isch
Café,Coffee,Koffie,French coffee,"Franse koffie",€2-4,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=french%20coffee&tbm=isch
Café au Lait,Coffee with Milk,Koffie met Melk,Coffee with steamed milk,"Koffie met gestoomde melk",€3-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=cafe%20au%20lait&tbm=isch
Thé,Tea,Thee,French tea,"Franse thee",€2-4,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=french%20tea&tbm=isch
Chocolat Chaud,Hot Chocolate,Warme Chocolademelk,Rich French hot chocolate,"Rijke Franse warme chocolademelk",€3-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=chocolat%20chaud&tbm=isch
Eau Gazeuse,Sparkling Water,Bruisend Water,Sparkling mineral water,"Bruisend mineraalwater",€2-4,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=eau%20gazeuse&tbm=isch
Vin Rouge,Red Wine,Rode Wijn,French red wine,"Franse rode wijn",€4-15,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=vin%20rouge&tbm=isch
Vin Blanc,White Wine,Witte Wijn,French white wine,"Franse witte wijn",€4-15,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=vin%20blanc&tbm=isch
Champagne,Champagne,Champagne,Sparkling wine from Champagne region,"Mousserende wijn uit de Champagne",€8-30,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=champagne&tbm=isch
Kir,Kir Aperitif,Kir Aperitief,White wine with blackcurrant liqueur,"Witte wijn met zwarte bessen likeur",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=kir%20aperitif&tbm=isch
Pastis,Pastis,Pastis,Anise-flavored liqueur from Provence,"Anijs likeur uit de Provence",€4-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pastis&tbm=isch
Baguette,French Bread,Frans Brood,Traditional French bread,"Traditioneel Frans brood",€1-3,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=baguette&tbm=isch
Croissant,Croissant,Croissant,Buttery flaky pastry,"Boter bladerdeeg",€2-4,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=croissant&tbm=isch
Pain au Chocolat,Chocolate Croissant,Chocolade Croissant,Croissant with chocolate,"Croissant met chocolade",€2-4,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=pain%20au%20chocolat&tbm=isch
Omelette,Omelet,Omelet,French-style omelet,"Franse omelet",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=french%20omelette&tbm=isch
Omelette aux Champignons,Mushroom Omelet,Champignon Omelet,Omelet with mushrooms,"Omelet met champignons",€7-10,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=omelette%20champignons&tbm=isch
Omelette au Fromage,Cheese Omelet,Kaas Omelet,Omelet with cheese,"Omelet met kaas",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=omelette%20fromage&tbm=isch
Salade Verte,Green Salad,Groene Salade,Mixed green salad,"Gemengde groene salade",€4-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=salade%20verte&tbm=isch
Salade de Tomates,Tomato Salad,Tomatensalade,Fresh tomato salad,"Verse tomatensalade",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=salade%20tomates&tbm=isch
Crudités,Raw Vegetables,Rauwe Groenten,Raw vegetable platter,"Rauwe groenten plateau",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=crudites&tbm=isch
Soupe du Jour,Soup of the Day,Soep van de Dag,Daily soup selection,"Dagelijkse soep selectie",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=soupe%20du%20jour&tbm=isch
Potage,Thick Soup,Dikke Soep,Thick vegetable soup,"Dikke groentensoep",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=potage&tbm=isch
Vichyssoise,Cold Leek Soup,Koude Preimsoep,Cold leek and potato soup,"Koude prei en aardappel soep",€6-9,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=vichyssoise&tbm=isch
Consommé,Clear Soup,Heldere Soep,Clear meat broth,"Heldere vleesbouilion",€4-7,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=consomme&tbm=isch
Bouillon,Broth,Bouillon,Light meat or vegetable broth,"Lichte vlees of groente bouillon",€3-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=bouillon&tbm=isch
Terrine,Terrine,Terrine,Coarse pâté served in slices,"Grove pâté in plakjes geserveerd",€8-12,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=terrine&tbm=isch
Rillettes,Shredded Meat Spread,Geraspte Vleespasta,Shredded meat preserved in fat,"Geraspte vlees bewaard in vet",€6-9,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=rillettes&tbm=isch
Tapenade,Olive Spread,Olijven Spread,Olive and caper spread,"Olijven en kappertjes spread",€4-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=tapenade&tbm=isch
Brandade,Salt Cod Spread,Gezouten Kabeljauw Spread,Creamy salt cod spread,"Romige gezouten kabeljauw spread",€6-9,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=brandade&tbm=isch
Charcuterie,Cold Meats,Vleeswaren,Selection of cured meats,"Selectie gedroogde vleeswaren",€8-15,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=charcuterie&tbm=isch
Jambon,Ham,Ham,French cured ham,"Franse gedroogde ham",€6-12,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=jambon%20francais&tbm=isch
Saucisson,Dry Sausage,Droge Worst,French dry sausage,"Franse droge worst",€5-10,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=saucisson&tbm=isch
Boudin Noir,Blood Sausage,Bloedworst,Black pudding,"Bloedworst",€6-10,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=boudin%20noir&tbm=isch
Boudin Blanc,White Sausage,Witte Worst,White sausage with milk and eggs,"Witte worst met melk en eieren",€6-10,TRUE,FALSE,FALSE,TRUE,FALSE,https://www.google.com/search?q=boudin%20blanc&tbm=isch
Merguez,Spicy Sausage,Pittige Worst,Spicy North African sausage,"Pittige Noord-Afrikaanse worst",€5-8,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=merguez&tbm=isch
Escalope de Veau,Veal Cutlet,Kalfskotelet,Breaded veal cutlet,"Gepaneerde kalfskotelet",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=escalope%20de%20veau&tbm=isch
Côte de Bœuf,Beef Rib,Runderrib,Grilled beef rib,"Gegrilde runderrib",€20-30,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cote%20de%20boeuf&tbm=isch
Entrecôte,Ribeye Steak,Ribeye Steak,Grilled ribeye steak,"Gegrilde ribeye steak",€18-26,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=entrecote&tbm=isch
Filet de Bœuf,Beef Tenderloin,Runderhaas,Beef tenderloin,"Runderhaas",€22-35,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=filet%20de%20boeuf&tbm=isch
Côtelette d'Agneau,Lamb Chop,Lamskotelet,Grilled lamb chop,"Gegrilde lamskotelet",€16-24,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cotelette%20agneau&tbm=isch
Navarin d'Agneau,Lamb Stew,Lamsstoof,Spring lamb stew with vegetables,"Lams stoof met groenten",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=navarin%20agneau&tbm=isch
Côte de Porc,Pork Chop,Varkenskotelet,Grilled pork chop,"Gegrilde varkenskotelet",€12-16,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cote%20de%20porc&tbm=isch
Rôti de Veau,Veal Roast,Kalfsgebraad,Roasted veal,"Gebraden kalfsvlees",€18-24,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=roti%20de%20veau&tbm=isch
Suprême de Volaille,Chicken Breast,Kipfilet,Chicken breast in cream sauce,"Kipfilet in roomsaus",€12-16,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=supreme%20de%20volaille&tbm=isch
Canard aux Cerises,Duck with Cherries,Eend met Kersen,Duck with cherry sauce,"Eend met kersensaus",€18-24,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=canard%20aux%20cerises&tbm=isch
Fricassée de Poulet,Chicken Fricassee,Kip Fricassee,Chicken stew in white sauce,"Kip stoof in witte saus",€12-16,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.google.com/search?q=fricassee%20de%20poulet&tbm=isch
Poule au Pot,Chicken in Pot,Kip in de Pot,Boiled chicken with vegetables,"Gekookte kip met groenten",€12-16,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=poule%20au%20pot&tbm=isch
Civet de Lapin,Rabbit Stew,Konijnenstoof,Rabbit stew in wine,"Konijnenstoof in wijn",€14-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=civet%20de%20lapin&tbm=isch
Plateau de Charcuterie,Meat Platter,Vleesplateau,Assorted cured meats,"Gemengde gedroogde vleeswaren",€12-18,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=plateau%20charcuterie&tbm=isch
Rôti de Bœuf,Beef Roast,Rundergebraad,Roasted beef,"Gebraden rundvlees",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=roti%20de%20boeuf&tbm=isch
Gigot de Mouton,Leg of Mutton,Schapenbout,Roasted leg of mutton,"Gebraden schapenbout",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=gigot%20de%20mouton&tbm=isch
Steak Tartare,Steak Tartare,Steak Tartaar,Raw minced beef with seasonings,"Rauw gehakt rundvlees met kruiden",€12-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=steak%20tartare&tbm=isch
Carpaccio de Bœuf,Beef Carpaccio,Runder Carpaccio,Thinly sliced raw beef,"Dun gesneden rauw rundvlees",€10-15,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=carpaccio%20de%20boeuf&tbm=isch
Salade de Gésiers,Gizzard Salad,Spiermaag Salade,Salad with duck gizzards,"Salade met eendenspiermagen",€8-12,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=salade%20de%20gesiers&tbm=isch
Ris de Veau,Sweetbreads,Zwezerik,Veal sweetbreads,"Kalfs zwezerik",€16-22,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=ris%20de%20veau&tbm=isch
Rognons,Kidneys,Nieren,Veal or beef kidneys,"Kalfs of rundernieren",€12-16,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=rognons&tbm=isch
Cervelles,Brain,Hersenen,Calf brain,"Kalf hersenen",€12-16,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=cervelles&tbm=isch
Langue de Bœuf,Beef Tongue,Rundertong,Beef tongue,"Rundertong",€10-14,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=langue%20de%20boeuf&tbm=isch
Bar,Sea Bass,Zeebaars,Grilled sea bass,"Gegrilde zeebaars",€18-25,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=bar%20fish&tbm=isch
Daurade,Sea Bream,Zeebrasem,Grilled sea bream,"Gegrilde zeebrasem",€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=daurade&tbm=isch
Turbot,Turbot,Tarbot,Grilled turbot,"Gegrilde tarbot",€20-28,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=turbot&tbm=isch
Cabillaud,Cod,Kabeljauw,Fresh cod,"Verse kabeljauw",€14-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=cabillaud&tbm=isch
Merlan,Whiting,Wijting,Pan-fried whiting,"Gebakken wijting",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=merlan&tbm=isch
Raie,Skate,Rog,Skate wing with capers,"Rogvleugel met kappertjes",€14-18,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=raie&tbm=isch
Thon,Tuna,Tonijn,Grilled tuna,"Gegrilde tonijn",€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=thon&tbm=isch
Sardines,Sardines,Sardines,Grilled sardines,"Gegrilde sardines",€8-12,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=sardines&tbm=isch
Anchois,Anchovies,Ansjovis,Marinated anchovies,"Gemarineerde ansjovis",€5-8,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=anchois&tbm=isch
Huîtres,Oysters,Oesters,Fresh oysters,"Verse oesters",€12-24,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=huitres&tbm=isch
Langoustines,Langoustines,Langoustines,Grilled langoustines,"Gegrilde langoustines",€18-25,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=langoustines&tbm=isch
Crevettes,Shrimp,Garnalen,Grilled shrimp,"Gegrilde garnalen",€12-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=crevettes&tbm=isch
Crabe,Crab,Krab,Fresh crab,"Verse krab",€16-24,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=crabe&tbm=isch
Homard,Lobster,Kreeft,Grilled lobster,"Gegrilde kreeft",€25-40,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=homard&tbm=isch
Saumon Fumé,Smoked Salmon,Gerookte Zalm,Smoked salmon,"Gerookte zalm",€12-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=saumon%20fume&tbm=isch
Brandade de Morue,Salt Cod Brandade,Gezouten Kabeljauw Brandade,Creamy salt cod preparation,"Romige gezouten kabeljauw bereiding",€8-12,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=brandade%20de%20morue&tbm=isch
Poisson du Jour,Fish of the Day,Vis van de Dag,Daily fish selection,"Dagelijkse vis selectie",€14-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=poisson%20du%20jour&tbm=isch
